date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2023-01-06,128.4161564549,86.08,56.9164621515,318.69,87.9426708242,131.8063955736,357.6973827227,129.6310237084,221.7557669063,14.8486414343,146.4564101069,113.06,477.0822444334,214.7983376928,104.1862984136
2023-01-09,128.9412340889,87.36,55.800244465,315.53,88.581093117,131.2617410464,344.7767548297,129.0826691242,223.9148614225,15.6171053459,144.667571418,119.77,477.1406626675,215.6368157044,102.2445289869
2023-01-10,129.5158473487,89.87,55.6106615651,316.35,89.0200084432,132.437048184,347.6545758402,132.5921384632,225.6204475015,15.8979094541,144.5248449268,118.85,473.1876954993,218.0930630562,103.7715515458
2023-01-11,132.2502138957,95.09,55.9211519267,320.37,92.0325636371,133.4212484699,355.2039282171,132.4924376297,232.4427918175,15.9898453187,143.3544876995,123.22,480.3926110275,219.089372223,104.9780878886
2023-01-12,132.1709568943,95.27,56.2887106103,318.93,91.6834264457,133.2874736738,353.9325620857,136.3010094691,235.1441246825,16.4994897854,142.5457042497,123.56,482.6027675476,220.5887681968,106.7219099465
2023-01-13,133.5084187923,98.12,56.0043362604,317.64,92.5712324466,136.6509542626,356.3964499372,136.5702017196,235.8539639755,16.8872193013,143.5638198865,122.4,476.663580423,220.0363591538,106.6559274903
2023-01-17,134.6774595624,96.05,56.027550493,314.86,91.9328101538,134.539223552,352.5724959917,134.955048217,236.9581584312,17.6896595107,143.1451555125,131.49,472.2919492444,219.9771724707,106.4485540563
2023-01-18,133.954239425,95.46,55.5487569447,308.3,91.5537469175,130.4973136399,346.9252650362,132.6220487132,232.4822273338,17.364886076,139.3105704506,128.78,463.6849961,216.4851581633,104.261706935
2023-01-19,134.013682176,93.68,54.4780004639,305.23,93.6784961105,128.75824129,346.0086987554,135.7426848016,228.6569822549,16.7533127159,136.3830598153,127.17,471.5909304363,217.4222806469,104.9309575627
2023-01-20,136.5895347202,97.25,55.2092487922,309.87,99.0352581605,129.0735675952,341.0710675011,138.9530516401,236.8299930033,17.8265640047,136.9097462561,133.42,473.8887143074,221.2694150533,106.8444487938
2023-01-23,139.7994432753,97.52,56.2587255598,310.42,100.960500387,131.1661876206,337.2668246585,142.8413841463,239.1566884637,19.1796200988,135.0711317719,143.75,473.0027044249,221.1411772398,106.2883109483
2023-01-24,141.2062550495,96.32,56.5875938557,311.3,98.9654307222,132.2937180453,341.3864451461,142.7117730628,238.6243089939,19.2515699059,135.808492789,143.89,478.6400640071,220.8551082711,107.278047792
2023-01-25,140.5424776631,97.18,56.6504657357,311.9,96.4915443379,132.9339259983,344.6781993157,141.0766793935,237.214489287,19.3095294727,135.7127316179,144.43,479.5163375173,221.8514174379,106.7124838813
2023-01-26,142.6229739488,99.22,57.8982307405,310.95,98.9155539806,133.7556854603,342.9830444739,146.8593277361,244.5002009193,19.7881955503,135.1668929429,160.27,479.4968647726,221.6639929412,111.0013435374
2023-01-27,144.5746776073,102.24,57.164080633,309.17,100.4617329708,134.0805671081,337.158413593,151.2860447432,244.6579429844,20.3508030695,134.6114781508,177.9,473.236377361,228.3027659041,108.9747395241
2023-01-30,141.6718899325,100.55,56.2413148853,307.33,97.7085368334,132.9434813408,335.5815253681,146.6200457357,239.2848538916,19.1486417097,135.0328273035,166.66,472.9832316802,225.9944852602,107.0423961626
2023-01-31,142.9499090794,103.13,56.5856593363,311.52,99.6238037116,133.7365747751,339.1788016312,148.5243316554,244.3128822169,19.5233802881,136.3447553469,173.22,486.0299706097,227.089438899,109.3517821312
